ID_Cliente,Motivo,Education,Cidade,Renda_anual,Aulas,NPS,Num_Aulas,Ano_de_nascimento,Banheiros_na_casa,Quartos_na_casa,motivo_na,renda_na,Quartos_Banheiros,faixa_idade
102,Estudos,Graduação,São Paulo,85693,Espanhol,2,5,2005,5,6,False,False,6Q_5B,2000s
105,Estudos,Ensino Fundamental,São Paulo,24594,Espanhol,3,14,2005,1,1,False,False,1Q_1B,2000s
106,Trabalho,Graduação,São Paulo,49096,Espanhol,3,16,1990,3,3,False,False,3Q_3B,1990s
107,Trabalho,Graduação,São Bernardo,52413,Espanhol,2,6,1995,3,4,False,False,4Q_3B,1990s
108,Estudos,Graduação,São Paulo,38557,Espanhol e Ingles,5,10,2004,2,2,False,False,2Q_2B,2000s
110,Trabalho,Graduação,São Paulo,77298,Ingles,5,22,2005,5,6,False,False,6Q_5B,2000s
112,Trabalho,Mestrado,Campinas,57288,Espanhol,1,15,1989,4,4,False,False,4Q_4B,1980s
113,Viagem,Graduação,São Bernardo,86037,Ingles,3,26,2017,5,6,False,False,6Q_5B,2010s
114,Trabalho,Doutorado,São Paulo,43974,Ingles,4,23,2006,2,3,False,False,3Q_2B,2000s
115,Estudos,Graduação,Campinas,50785,Espanhol,4,12,1988,3,3,False,False,3Q_3B,1980s
116,Estudos,Graduação,São Bernardo,90765,Ingles,4,15,1996,5,6,False,False,6Q_5B,1990s
117,Estudos,Ensino Médio,São Paulo,36550,Espanhol,2,14,2004,2,2,False,False,2Q_2B,2000s
118,Viagem,Ensino Médio,Campinas,30753,Espanhol,1,19,1993,1,2,False,False,2Q_1B,1990s
119,Trabalho,Graduação,São Paulo,21918,Espanhol,1,9,1995,1,1,False,False,1Q_1B,1990s
121,Trabalho,Mestrado,Campinas,0,Espanhol,3,6,1993,2,2,False,True,2Q_2B,1990s
122,Trabalho,Mestrado,São Paulo,19510,Espanhol,3,6,2011,1,1,False,False,1Q_1B,2010s
123,Viagem,Graduação,São Paulo,30992,Espanhol,1,6,2002,1,2,False,False,2Q_1B,2000s
124,Trabalho,Graduação,São Paulo,0,Ingles,4,22,2009,5,6,False,True,6Q_5B,2000s
125,Estudos,Ensino Médio,São Paulo,71488,Ingles,2,18,1991,4,5,False,False,5Q_4B,1990s
126,Viagem,Graduação,São Bernardo,79607,Ingles,2,31,2010,5,6,False,False,6Q_5B,2010s
127,Trabalho,Mestrado,Campinas,54348,Ingles,3,34,1979,3,4,False,False,4Q_3B,<1980
128,Trabalho,Doutorado,São Paulo,0,Ingles,3,8,1987,3,1,False,True,1Q_3B,1980s
130,Viagem,Graduação,São Paulo,62998,Ingles,3,1,1978,4,5,False,False,5Q_4B,<1980
131,Viagem,Mestrado,São Paulo,61331,Ingles,1,1,1984,4,4,True,False,4Q_4B,1980s
132,Estudos,Graduação,São Paulo,0,Ingles,4,28,1995,5,5,False,True,5Q_5B,1990s
133,Trabalho,Graduação,São Paulo,52247,Ingles,2,3,1989,3,1,False,False,1Q_3B,1980s
134,Trabalho,Doutorado,Campinas,41551,Ingles,2,1,1990,3,3,False,False,3Q_3B,1990s
135,Trabalho,Doutorado,São Paulo,62981,Ingles,4,26,1993,4,4,False,False,4Q_4B,1990s
136,Estudos,Ensino Fundamental,São Paulo,0,Espanhol,2,10,2002,1,1,False,True,1Q_1B,2000s
139,Trabalho,Doutorado,Taubaté,36921,Ingles,4,20,1991,3,2,False,False,2Q_3B,1990s
141,Trabalho,Mestrado,São Paulo,65104,Ingles,4,33,2002,4,5,False,False,5Q_4B,2000s
142,Trabalho,Graduação,São Paulo,86111,Ingles,4,21,1988,5,6,False,False,6Q_5B,1980s
143,Trabalho,Doutorado,São Paulo,68352,Ingles,3,19,2000,4,5,False,False,5Q_4B,2000s
144,Estudos,Graduação,São Paulo,0,Espanhol,1,12,2014,2,3,False,True,3Q_2B,2010s
145,Estudos,Graduação,São Paulo,59809,Ingles,1,34,2002,3,4,False,False,4Q_3B,2000s
146,Trabalho,Graduação,São Paulo,0,Espanhol e Ingles,3,23,2001,1,1,False,True,1Q_1B,2000s
147,Estudos,Graduação,São Paulo,38547,Espanhol,3,11,2007,2,2,False,False,2Q_2B,2000s
148,Estudos,Ensino Médio,São Paulo,0,Espanhol,1,14,1999,1,2,False,True,2Q_1B,1990s
149,Trabalho,Mestrado,São Paulo,49605,Espanhol,3,10,1992,3,3,False,False,3Q_3B,1990s
150,Trabalho,Mestrado,Campinas,59354,Ingles,3,16,1979,5,4,False,False,4Q_5B,<1980
151,Trabalho,Graduação,São Paulo,65747,Espanhol,2,17,1995,4,5,False,False,5Q_4B,1990s
152,Estudos,Ensino Médio,São Paulo,0,Espanhol,4,9,1998,3,3,False,True,3Q_3B,1990s
153,Trabalho,Graduação,São Paulo,34176,Espanhol,1,24,2014,2,2,False,False,2Q_2B,2010s
154,Trabalho,Doutorado,Rio Branco,61010,Ingles,2,24,1978,5,4,False,False,4Q_5B,<1980
155,Estudos,Graduação,São Paulo,69372,Ingles,2,25,1975,4,5,False,False,5Q_4B,<1980
156,Trabalho,Graduação,São Paulo,49967,Ingles,4,10,1984,3,3,False,False,3Q_3B,1980s
157,Trabalho,Graduação,São Bernardo,60199,Ingles,3,35,2004,4,4,False,False,4Q_4B,2000s
158,Viagem,Graduação,São Paulo,55375,Espanhol,2,13,2003,3,4,False,False,4Q_3B,2000s
159,Estudos,Graduação,São Bernardo,0,Ingles,1,17,1981,5,6,False,True,6Q_5B,1980s
160,Trabalho,Mestrado,São Paulo,30523,Espanhol,1,6,1984,1,2,False,False,2Q_1B,1980s
161,Estudos,Doutorado,São Paulo,70356,Ingles,2,9,1971,4,5,False,False,5Q_4B,<1980
162,Trabalho,Graduação,São Paulo,23228,Espanhol,4,5,2010,1,1,False,False,1Q_1B,2010s
163,Trabalho,Doutorado,São Paulo,74165,Ingles,4,28,2001,5,5,False,False,5Q_5B,2000s
165,Estudos,Graduação,São Bernardo,43482,Espanhol,4,12,1992,2,3,False,False,3Q_2B,1990s
166,Estudos,Graduação,São Paulo,62551,Espanhol,2,9,1979,4,4,False,False,4Q_4B,<1980
167,Viagem,Graduação,São Paulo,52332,Ingles,1,7,1985,3,4,False,False,4Q_3B,1980s
168,Estudos,Graduação,São Paulo,66951,Espanhol,3,14,2014,3,5,False,False,5Q_3B,2010s
169,Viagem,Graduação,São Paulo,26091,Espanhol,4,12,1983,1,1,False,False,1Q_1B,1980s
170,Estudos,Graduação,São Paulo,33456,Espanhol,3,10,1991,2,2,False,False,2Q_2B,1990s
171,Viagem,Graduação,São Paulo,28718,Espanhol,2,6,2008,1,1,False,False,1Q_1B,2000s
172,Trabalho,Graduação,São Paulo,50447,Espanhol,1,2,1996,3,3,False,False,3Q_3B,1990s
173,Viagem,Doutorado,São Paulo,53537,Ingles,4,20,1985,3,4,False,False,4Q_3B,1980s
174,Estudos,Graduação,São Paulo,0,Ingles,3,20,1993,3,4,False,True,4Q_3B,1990s
175,Trabalho,Doutorado,São Paulo,80427,Ingles,3,36,2001,5,6,False,False,6Q_5B,2000s
176,Trabalho,Doutorado,São Paulo,83837,Ingles,3,27,1974,5,6,False,False,6Q_5B,<1980
177,Trabalho,Doutorado,São Paulo,38853,Ingles,4,20,1996,2,2,False,False,2Q_2B,1990s
178,Trabalho,Graduação,Campinas,38285,Ingles,3,32,1985,3,2,False,False,2Q_3B,1980s
179,Viagem,Ensino Médio,São Paulo,78497,Ingles,4,41,1977,5,6,False,False,6Q_5B,<1980
180,Trabalho,Doutorado,São Paulo,51650,Ingles,3,28,2002,3,4,False,False,4Q_3B,2000s
181,Estudos,Ensino Médio,São Paulo,0,Espanhol,1,8,2014,1,1,False,True,1Q_1B,2010s
183,Trabalho,Mestrado,Campinas,30477,Espanhol,4,14,2010,1,2,False,False,2Q_1B,2010s
184,Estudos,Ensino Fundamental,São Paulo,28249,Espanhol,4,11,1987,1,1,False,False,1Q_1B,1980s
185,Trabalho,Graduação,São Paulo,0,Espanhol,3,4,2009,1,1,False,True,1Q_1B,2000s
186,Estudos,Doutorado,São Bernardo,32303,Ingles,2,20,1996,2,2,False,False,2Q_2B,1990s
187,Viagem,Graduação,São Paulo,61286,Espanhol e Ingles,4,10,1992,4,4,False,False,4Q_4B,1990s
188,Estudos,Graduação,São Paulo,74068,Espanhol,2,11,2002,5,5,False,False,5Q_5B,2000s
189,Estudos,Doutorado,São Paulo,0,Ingles,4,1,1990,3,3,False,True,3Q_3B,1990s
190,Viagem,Ensino Fundamental,São Paulo,24882,Espanhol,2,12,2004,1,1,False,False,1Q_1B,2000s
191,Trabalho,Doutorado,Campinas,66973,Ingles,4,4,2015,4,5,False,False,5Q_4B,2010s
193,Estudos,Graduação,São Paulo,38872,Espanhol e Ingles,4,13,2014,2,2,False,False,2Q_2B,2010s
194,Estudos,Graduação,São Paulo,51148,Espanhol,4,11,1999,3,3,False,False,3Q_3B,1990s
195,Viagem,Graduação,São Paulo,31353,Espanhol,4,10,2003,1,2,False,False,2Q_1B,2000s
196,Trabalho,Mestrado,São Bernardo,69661,Ingles,4,15,2006,4,5,True,False,5Q_4B,2000s
197,Trabalho,Graduação,Campinas,80067,Ingles,4,11,1980,5,6,False,False,6Q_5B,1980s
198,Trabalho,Graduação,Campinas,86718,Ingles,4,17,1980,5,6,False,False,6Q_5B,1980s
199,Estudos,Doutorado,São Bernardo,46854,Ingles,4,21,1999,3,3,False,False,3Q_3B,1990s
200,Estudos,Graduação,São Paulo,69142,Ingles,4,28,1978,4,5,False,False,5Q_4B,<1980
201,Trabalho,Graduação,São Paulo,75922,Ingles,3,19,1994,4,6,False,False,6Q_4B,1990s
202,Estudos,Graduação,São Paulo,63693,Espanhol e Ingles,4,15,2004,4,5,False,False,5Q_4B,2000s
203,Estudos,Doutorado,Campinas,102160,Ingles,2,27,2003,5,6,False,False,6Q_5B,2000s
204,Trabalho,Doutorado,São Paulo,0,Ingles,4,21,1991,2,3,False,True,3Q_2B,1990s
205,Trabalho,Mestrado,São Paulo,18890,Espanhol,3,4,2010,1,1,False,False,1Q_1B,2010s
206,Estudos,Graduação,São Paulo,29604,Espanhol,3,12,2014,1,1,False,False,1Q_1B,2010s
207,Estudos,Mestrado,São Paulo,48721,Espanhol,1,13,1989,3,3,True,False,3Q_3B,1980s
208,Trabalho,Graduação,São Paulo,44794,Espanhol,1,15,1992,2,3,True,False,3Q_2B,1990s
209,Viagem,Graduação,São Paulo,0,Ingles,4,1,1980,4,5,False,True,5Q_4B,1980s
210,Estudos,Graduação,São Paulo,46097,Espanhol e Ingles,1,26,1982,3,3,False,False,3Q_3B,1980s
211,Estudos,Graduação,São Paulo,77972,Ingles,4,6,1980,5,6,False,False,6Q_5B,1980s
212,Trabalho,Doutorado,São Paulo,0,Ingles,2,18,1994,2,3,False,True,3Q_2B,1990s
213,Estudos,Mestrado,São Paulo,46014,Espanhol,4,15,2000,3,3,True,False,3Q_3B,2000s
214,Trabalho,Graduação,São Bernardo,70951,Ingles,3,2,2011,4,5,False,False,5Q_4B,2010s
215,Estudos,Graduação,São Paulo,41443,Espanhol,3,3,2003,2,3,False,False,3Q_2B,2000s
216,Estudos,Ensino Médio,São Paulo,0,Ingles,4,29,2004,3,4,False,True,4Q_3B,2000s
217,Viagem,Mestrado,São Bernardo,83790,Ingles,2,43,1974,5,6,False,False,6Q_5B,<1980
218,Trabalho,Mestrado,São Paulo,44551,Espanhol,1,5,1980,3,3,False,False,3Q_3B,1980s
219,Trabalho,Graduação,São Bernardo,69508,Espanhol,1,13,2006,4,5,False,False,5Q_4B,2000s
220,Estudos,Ensino Médio,São Paulo,45204,Espanhol,3,13,2014,3,3,False,False,3Q_3B,2010s
221,Viagem,Graduação,São Paulo,0,Ingles,4,38,1995,5,5,False,True,5Q_5B,1990s
222,Estudos,Doutorado,São Paulo,77622,Espanhol e Ingles,4,28,1996,4,6,False,False,6Q_4B,1990s
223,Estudos,Doutorado,São Paulo,30732,Ingles,3,17,2006,1,2,False,False,2Q_1B,2000s
224,Estudos,Graduação,São Paulo,0,Espanhol e Ingles,1,11,1988,4,5,False,True,5Q_4B,1980s
225,Viagem,Graduação,São Paulo,42011,Espanhol e Ingles,2,20,2004,2,3,False,False,3Q_2B,2000s
226,Trabalho,Graduação,Taubaté,51369,Espanhol,1,13,2002,4,3,False,False,3Q_4B,2000s
227,Estudos,Graduação,São Paulo,51537,Ingles,3,42,1978,3,4,False,False,4Q_3B,<1980
228,Estudos,Doutorado,Campinas,79930,Ingles,5,22,1998,5,6,False,False,6Q_5B,1990s
229,Estudos,Doutorado,São Paulo,34320,Ingles,3,15,2012,2,2,False,False,2Q_2B,2010s
230,Estudos,Graduação,São Bernardo,0,Espanhol,1,29,1992,2,2,False,True,2Q_2B,1990s
231,Estudos,Ensino Médio,São Paulo,81975,Espanhol,2,13,1988,5,6,False,False,6Q_5B,1980s
233,Estudos,Graduação,São Paulo,15033,Espanhol,3,16,1977,1,1,False,False,1Q_1B,<1980
234,Viagem,Doutorado,São Paulo,0,Ingles,3,11,1991,4,4,False,True,4Q_4B,1990s
235,Estudos,Ensino Médio,São Bernardo,22212,Espanhol,3,15,2001,1,1,False,False,1Q_1B,2000s
236,Estudos,Mestrado,São Paulo,23661,Espanhol,1,13,2008,1,1,True,False,1Q_1B,2000s
238,Trabalho,Graduação,São Paulo,7500,Ingles,3,15,1999,1,1,False,False,1Q_1B,1990s
240,Trabalho,Graduação,Campinas,73455,Ingles,2,23,1994,5,5,False,False,5Q_5B,1990s
241,Viagem,Graduação,Taubaté,64961,Ingles,4,22,1984,5,5,False,False,5Q_5B,1980s
242,Estudos,Graduação,Campinas,22804,Espanhol,3,8,1997,2,1,False,False,1Q_2B,1990s
243,Trabalho,Graduação,São Paulo,73687,Espanhol,1,14,2016,5,5,False,False,5Q_5B,2010s
245,Estudos,Doutorado,Campinas,31686,Ingles,5,20,1990,2,2,False,False,2Q_2B,1990s
246,Estudos,Graduação,São Paulo,80134,Ingles,3,27,1998,5,6,False,False,6Q_5B,1990s
247,Viagem,Graduação,Taubaté,75027,Espanhol,2,6,1979,5,6,False,False,6Q_5B,<1980
248,Estudos,Doutorado,Taubaté,67546,Ingles,3,38,2014,5,5,False,False,5Q_5B,2010s
249,Trabalho,Mestrado,Campinas,65176,Ingles,5,34,1995,4,5,False,False,5Q_4B,1990s
250,Trabalho,Mestrado,São Paulo,31160,Espanhol,3,9,2001,1,2,False,False,2Q_1B,2000s
251,Trabalho,Graduação,São Paulo,29938,Espanhol,3,8,2011,1,1,False,False,1Q_1B,2010s
252,Estudos,Graduação,Campinas,102692,Espanhol e Ingles,2,27,2000,5,6,False,False,6Q_5B,2000s
253,Viagem,Ensino Médio,São Paulo,26490,Espanhol,4,10,1984,1,1,False,False,1Q_1B,1980s
254,Estudos,Graduação,São Paulo,75702,Ingles,5,1,1993,5,6,False,False,6Q_5B,1990s
255,Trabalho,Doutorado,São Paulo,30899,Ingles,4,1,2000,1,2,False,False,2Q_1B,2000s
256,Trabalho,Doutorado,Campinas,63342,Ingles,1,34,1987,5,5,False,False,5Q_5B,1980s
257,Estudos,Graduação,São Paulo,45989,Espanhol,3,22,1990,3,3,False,False,3Q_3B,1990s
258,Viagem,Graduação,São Paulo,0,Espanhol,3,1,1990,1,1,False,True,1Q_1B,1990s
260,Estudos,Graduação,São Paulo,15287,Espanhol,1,13,2005,1,1,False,False,1Q_1B,2000s
261,Estudos,Doutorado,Rio Branco,69674,Ingles,1,1,1994,5,5,False,False,5Q_5B,1990s
262,Viagem,Mestrado,São Paulo,44159,Espanhol,2,2,1996,2,3,False,False,3Q_2B,1990s
263,Trabalho,Doutorado,São Paulo,37717,Espanhol e Ingles,3,21,2004,2,2,False,False,2Q_2B,2000s
264,Estudos,Mestrado,Campinas,43776,Espanhol,2,8,1978,2,3,True,False,3Q_2B,<1980
265,Viagem,Mestrado,São Bernardo,38179,Espanhol,1,15,1992,2,2,True,False,2Q_2B,1990s
266,Trabalho,Graduação,São Paulo,80124,Ingles,4,17,1989,5,6,False,False,6Q_5B,1980s
267,Trabalho,Doutorado,São Bernardo,38097,Espanhol e Ingles,1,22,1996,2,2,False,False,2Q_2B,1990s
268,Trabalho,Graduação,São Paulo,72940,Espanhol e Ingles,3,29,1996,5,5,False,False,5Q_5B,1990s
269,Estudos,Graduação,São Paulo,22070,Espanhol e Ingles,3,5,1996,1,1,False,False,1Q_1B,1990s
270,Trabalho,Graduação,São Bernardo,0,Espanhol e Ingles,3,16,1979,4,5,False,True,5Q_4B,<1980
271,Trabalho,Mestrado,São Bernardo,0,Espanhol,5,10,2009,1,2,False,True,2Q_1B,2000s
272,Viagem,Doutorado,Campinas,0,Ingles,1,2,2001,4,4,False,True,4Q_4B,2000s
273,Estudos,Graduação,Campinas,29315,Espanhol,2,5,1986,2,1,False,False,1Q_2B,1980s
274,Estudos,Graduação,São Paulo,33378,Ingles,4,1,1989,2,2,False,False,2Q_2B,1980s
275,Estudos,Doutorado,São Paulo,66313,Espanhol e Ingles,5,1,1989,4,5,False,False,5Q_4B,1980s
276,Estudos,Graduação,São Bernardo,0,Ingles,5,28,1982,4,4,False,True,4Q_4B,1980s
277,Trabalho,Mestrado,São Paulo,0,Ingles,4,31,2007,5,6,False,True,6Q_5B,2000s
278,Trabalho,Doutorado,São Bernardo,69867,Ingles,2,11,2012,4,5,False,False,5Q_4B,2010s
279,Trabalho,Mestrado,São Bernardo,63841,Espanhol,4,6,1994,4,5,False,False,5Q_4B,1990s
280,Estudos,Ensino Fundamental,Campinas,0,Espanhol,3,13,2007,1,1,False,True,1Q_1B,2000s
281,Estudos,Graduação,São Paulo,51369,Ingles,4,1,2002,3,3,False,False,3Q_3B,2000s
282,Estudos,Graduação,São Paulo,37760,Espanhol,3,6,1972,2,2,False,False,2Q_2B,<1980
283,Estudos,Doutorado,São Paulo,65640,Ingles,1,12,2000,3,5,False,False,5Q_3B,2000s
